Dewey Decimal Code,item_id
973,0
391,1
912,2
769.792,3
912,4
912,5
912,6
306.769,7
792,8
294.792,9
598.635,10
323.324,11
394,12
973,13
391,14
743.975,15
355,16
332.940,17
551.911,18
912,19
912,20
910,21
912,22
912,23
915,24
914,25
398,26
796,27
297.966,28
297.340,29
912,30
791,31
914,32
304.325,33
340.966,34
912,35
914,36
940,37
912,38
912.917,39
914,40
623.981,41
912,42
914,43
093.355,44
327.912,45
912,46
911.912,47
912.940,48
912,49
912,50
912,51
912,52
912,53
912,54
912,55
912,56
912,57
726,58
726,59
912,60
912,61
281.726,62
912,63
912,64
914,65
912,66
915,67
912,68
981,69
981,70
912,71
981.989,72
912,73
372.461,74
912,75
932,76
306.331,77
238.268,78
392,79
912,80
914,81
333.912,82
304.325,83
796,84
914,85
910.970,86
914,87
979,88
912,89
226,90
912.919,91
912,92
912.957,93
912.957,94
912,95
912.966,96
385.957,97
297.745,98
294.726,99
912,100
973,101
912.972,102
917,103
525,104
973,105
306.973,106
915,107
981,108
529,109
516.681,110
512,111
294,112
323.973,113
793.914,114
915,115
912,116
912,117
912,118
912,119
551.912,120
551.912,121
912,122
912,123
630.912,124
912,125
912.957,126
912,127
951,128
947.957,129
912,130
912.946,131
912,132
622,133
912,134
912,135
912,136
332.940,137
912,138
912,139
294.911,140
912,141
912,142
912,143
912,144
912,145
912,146
912.972,147
912,148
912,149
914,150
281,151
912,152
974,153
745,154
230.238,155
271.726,156
910,157
912,158
363.394,159
912,160
912,161
912,162
912,163
912,164
912,165
912,166
912,167
495,168
495,169
495,170
495,171
495,172
495,173
912,174
973,175
957,176
551.912,177
912,178
399.981,179
912,180
912,181
912,182
912,183
912,184
580,185
580,186
912.957,187
305.781,188
946.981,189
957,190
725,191
385.957,192
297.966,193
096.769,194
769.821,195
912.975,196
745,197
912,198
325.957,199
677.975,200
331.973,201
912.951,202
981,203
912,204
918.981,205
912.930,206
912.940,207
973,208
918.973,209
306.391,210
912,211
252.979,212
912,213
912,214
745,215
712.959,216
623.981,217
912.971,218
391.949,219
912,220
911,221
201.495,222
968,223
392.914,224
914,225
242.264,226
929.941,227
916,228
918,229
912,230
918,231
325.918,232
325.918,233
325.918,234
391.916,235
391.914,236
391.916,237
356.940,238
769.940,239
636.994,240
912,241
769.940,242
769.940,243
769.940,244
242,245
972,246
728.917,247
726.914,248
914,249
914,250
726.914,251
956,252
633.914,253
726.914,254
726.914,255
627.914,256
914,257
371,258
347.947,259
347.947,260
349.947,261
779.972,262
966,263
347.947,264
917,265
912,266
252,267
491,268
949,269
371,270
910,271
381.914,272
636.914,273
912,274
769.940,275
940,276
356.940,277
347.947,278
917,279
636.983,280
305,281
630.746,282
495.529,283
403.495,284
294,285
294.951,286
951,287
951,288
951,289
787.951,290
305.951,291
929.951,292
633.677,293
951,294
916,295
914,296
916,297
633.914,298
728.916,299
728.914,300
347.947,301
347.947,302
959,303
912,304
912,305
380.915,306
912.915,307
242.499,308
956,309
912.951,310
726,311
912,312
403,313
912,314
388,315
949,316
914,317
914,318
347.947,319
347.947,320
347.947,321
972,322
972,323
972,324
391.779,325
839,326
972,327
972,328
918,329
640.705,330
912.947,331
347.947,332
347.947,333
347.947,334
551,335
912.996,336
347.947,337
386.914,338
912.948,339
242,340
398.841,341
282.944,342
282.944,343
282.944,344
332.940,345
356.940,346
636.940,347
726,348
633.914,349
584.914,350
331.914,351
725.914,352
627.914,353
228,354
912,355
769.940,356
740.940,357
641.940,358
912,359
912,360
912,361
912,362
918,363
972,364
918,365
320.972,366
972,367
914,368
381.914,369
633.914,370
633.914,371
630.943,372
347.947,373
912,374
347.947,375
726.915,376
294.915,377
297.915,378
915,379
347.947,380
959,381
792.915,382
792.915,383
726.915,384
338.915,385
912,386
338.914,387
967,388
918,389
338.918,390
385.918,391
709.972,392
911,393
912,394
912,395
945,396
912,397
912,398
332.940,399
948,400
912.914,401
917,402
956,403
956,404
796.956,405
956,406
305.914,407
636.914,408
728.914,409
393.914,410
305.914,411
636.914,412
728.915,413
624.914,414
726.914,415
391.967,416
967,417
307.967,418
910,419
726.915,420
709.972,421
726.914,422
914,423
624.914,424
726.914,425
912.947,426
727.915,427
912,428
966,429
912,430
799.914,431
914,432
363,433
640.705,434
940,435
912,436
912,437
910,438
709.972,439
709.972,440
726,441
912,442
912.947,443
520,444
523,445
513,446
616,447
510.520,448
520,449
341,450
912,451
912,452
912,453
912,454
912,455
912.958,456
912,457
912,458
912,459
912,460
912,461
959,462
912.943,463
916,464
741.918,465
967,466
916,467
380.918,468
338.914,469
338.914,470
707.915,471
799.914,472
918,473
918,474
391.993,475
391.993,476
726.993,477
793.917,478
726,479
728.972,480
355.940,481
726,482
709.972,483
709.972,484
915.957,485
355.947,486
636,487
912,488
947,489
779.943,490
627.981,491
918,492
690,493
912.957,494
940.970,495
529,496
929.972,497
917,498
972,499
932,500
726,501
385.914,502
912,503
912,504
912,505
912,506
912,507
912,508
957,509
726,510
694,511
694,512
912,513
912,514
726,515
263.791,516
916,517
915,518
365.916,519
726,520
916,521
385.967,522
203.726,523
622.968,524
915,525
916,526
916,527
916,528
968,529
392.916,530
633.916,531
622.916,532
633.959,533
915,534
584.959,535
305,536
627.981,537
297.919,538
915,539
240.491,540
916,541
947,542
636.916,543
305.391,544
916,545
968,546
915,547
915,548
664.949,549
962,550
912,551
356.940,552
356.940,553
332.940,554
332.940,555
381,556
381,557
338.779,558
914,559
725.914,560
779.949,561
914,562
242.264,563
958,564
320.340,565
841,566
840,567
737,568
737,569
281.729,570
355.912,571
737,572
391.915,573
915,574
725.915,575
391.915,576
386.914,577
583.914,578
712.914,579
914,580
730.914,581
725.914,582
391.914,583
914,584
726.914,585
381.914,586
636.914,587
381.914,588
694.914,589
726.914,590
726.914,591
726.914,592
729.914,593
264.782,594
946,595
920.942,596
910,597
917.946,598
972,599
821,600
784,601
945.946,602
912,603
296.745,604
912,605
947,606
916,607
496,608
967,609
910.966,610
967,611
966,612
749.944,613
726,614
964,615
356.940,616
323.967,617
912,618
912,619
912,620
912,621
916,622
966,623
966,624
966,625
620.912,626
912,627
381.916,628
912,629
296.745,630
726,631
912,632
324.968,633
951,634
912.947,635
912,636
551.968,637
947,638
916.967,639
914,640
223.296,641
912,642
916,643
972,644
387.629,645
914,646
356.940,647
305.391,648
508.916,649
968,650
730.937,651
966,652
916,653
912,654
947,655
916,656
737,657
224.296,658
305,659
996,660
386.995,661
584.996,662
584.996,663
358.940,664
728,665
912.947,666
912.947,667
912.947,668
912.947,669
912.957,670
912.957,671
912.943,672
912.947,673
912.943,674
912.947,675
912.947,676
912.947,677
912.948,678
912.947,679
912.957,680
912.944,681
912.948,682
912.948,683
912.948,684
912.948,685
912.947,686
948,687
947,688
947,689
947,690
947,691
947,692
947,693
947,694
947,695
947,696
947,697
947,698
947,699
947,700
947,701
947,702
947,703
947,704
947,705
947,706
947,707
947,708
947,709
947,710
947,711
947,712
957,713
947,714
947,715
947,716
947,717
947,718
947,719
947,720
947,721
947,722
947,723
947,724
947,725
947,726
947,727
947,728
947,729
947,730
947,731
947,732
947,733
957,734
725,735
895,736
912.981,737
912,738
912,739
912,740
912,741
912,742
912,743
912,744
912,745
912,746
912,747
912,748
912,749
912,750
912,751
912,752
307,753
912,754
912,755
623.912,756
623.912,757
912,758
912,759
912,760
912,761
912,762
912,763
912,764
912,765
912,766
726.729,767
912,768
912,769
912,770
912,771
912,772
912,773
912,774
912,775
912,776
726,777
912,778
912,779
912,780
912,781
627.981,782
912,783
912,784
912,785
623.912,786
912,787
623.912,788
623.912,789
912,790
726,791
912,792
912,793
912,794
694.729,795
912,796
694,797
912,798
912,799
912,800
912,801
912,802
912,803
912,804
726,805
912,806
912,807
912,808
912,809
728.729,810
912,811
981,812
912,813
912,814
912,815
912,816
912,817
912,818
912,819
912,820
912,821
726.729,822
912,823
726.729,824
725.944,825
725.944,826
728.944,827
728.944,828
730.944,829
725.944,830
355.944,831
725.944,832
356.944,833
725.944,834
725.944,835
725.944,836
725.944,837
725.944,838
725.944,839
725.944,840
725.944,841
728.944,842
725.944,843
728.944,844
728.944,845
725.944,846
728.944,847
725.944,848
725.944,849
725.944,850
726.944,851
728.944,852
356.944,853
356.944,854
725.944,855
725.944,856
725.944,857
356.944,858
356.944,859
356.944,860
356.944,861
725.944,862
944,863
725.944,864
357.944,865
357.944,866
725.944,867
725.944,868
357.944,869
725.944,870
725.944,871
357.944,872
357.944,873
357.944,874
357.944,875
725.944,876
356.944,877
728.944,878
725.944,879
728.944,880
355.944,881
725.944,882
728.944,883
728.944,884
728.944,885
728.944,886
725.944,887
725.944,888
355.944,889
355.944,890
355.944,891
355.944,892
725.944,893
728.944,894
355.944,895
728.944,896
726.944,897
728.944,898
728.944,899
624.944,900
725.944,901
728.944,902
728.944,903
725.944,904
728.944,905
728.944,906
728.944,907
728.944,908
728.944,909
728.944,910
728.944,911
728.944,912
728.944,913
728.944,914
355.944,915
728.944,916
728.944,917
725.944,918
728.944,919
728.944,920
725.944,921
728.944,922
725.944,923
728.944,924
728.944,925
918,926
355.944,927
918,928
726.918,929
728.918,930
727.918,931
385.944,932
385.944,933
728.944,934
728.918,935
728.944,936
624.944,937
728.918,938
725.944,939
918,940
728.918,941
728.918,942
728.918,943
728.918,944
728.918,945
981,946
918,947
393.918,948
385.918,949
725.918,950
385.918,951
728.918,952
666.918,953
385.918,954
385.918,955
385.918,956
385.918,957
385.918,958
385.918,959
918,960
385.918,961
385.918,962
385.918,963
385.918,964
385.918,965
385.918,966
385.918,967
385.981,968
385.918,969
385.918,970
918,971
385.918,972
385.981,973
385.918,974
385.918,975
385.918,976
385.918,977
385.918,978
385.918,979
385.981,980
725.918,981
385.918,982
385.918,983
385.981,984
385.918,985
385.918,986
385.981,987
385.918,988
385.918,989
385.981,990
385.981,991
385.981,992
385.981,993
385.981,994
385.981,995
981,996
981,997
385.981,998
385.981,999
385.981,1000
385.981,1001
385.981,1002
385.981,1003
385.981,1004
385.981,1005
381.687,1006
381.687,1007
918,1008
623,1009
385.981,1010
320.973,1011
355.973,1012
320.973,1013
355.973,1014
355.973,1015
355.973,1016
355.973,1017
355.973,1018
355.973,1019
355.973,1020
355.973,1021
355.973,1022
355.973,1023
355.973,1024
355.973,1025
355.973,1026
355.973,1027
355.973,1028
320.973,1029
355.973,1030
320.973,1031
320.973,1032
320.973,1033
320.973,1034
320.973,1035
320.973,1036
320.973,1037
320.973,1038
320.973,1039
320.973,1040
320.973,1041
907.973,1042
320.973,1043
810.973,1044
320.973,1045
811.973,1046
907.973,1047
810.973,1048
810.973,1049
810.973,1050
814.973,1051
508.973,1052
919.973,1053
326.973,1054
326.973,1055
320.973,1056
320.973,1057
623.973,1058
320.973,1059
320.973,1060
355.973,1061
355.973,1062
355.973,1063
355.973,1064
355.973,1065
355.973,1066
355.973,1067
355.973,1068
355.973,1069
320.973,1070
355.973,1071
355.973,1072
355.973,1073
381.391,1074
711,1075
778.981,1076
910.981,1077
731.981,1078
731.981,1079
711.981,1080
628.981,1081
712,1082
918,1083
628.981,1084
628.981,1085
918,1086
918,1087
918,1088
628.981,1089
385.918,1090
385.918,1091
981,1092
627.981,1093
627.981,1094
627.981,1095
627.981,1096
627.981,1097
627.981,1098
627.981,1099
627.981,1100
355.973,1101
327.973,1102
320.973,1103
320.973,1104
944.973,1105
320.973,1106
355.973,1107
320.973,1108
520.523,1109
520.523,1110
520.522,1111
520.522,1112
520.522,1113
520.522,1114
520.522,1115
520.522,1116
520.522,1117
520.523,1118
627.981,1119
627.981,1120
627.981,1121
627.981,1122
627.981,1123
627.981,1124
627.981,1125
627.981,1126
627.981,1127
627.981,1128
627.981,1129
627.981,1130
627.981,1131
627.981,1132
627.981,1133
627.981,1134
918,1135
918,1136
918,1137
918,1138
918,1139
355.951,1140
355.951,1141
355.951,1142
355.951,1143
355.951,1144
355.951,1145
951,1146
951,1147
355.951,1148
951,1149
951,1150
951,1151
951,1152
391.951,1153
355.951,1154
355.951,1155
355.951,1156
951,1157
951,1158
391.951,1159
391.951,1160
391.951,1161
784.951,1162
391.951,1163
951,1164
365.951,1165
364.951,1166
391.951,1167
391.951,1168
951,1169
951,1170
951,1171
726.951,1172
951,1173
951,1174
792.951,1175
792.951,1176
297.951,1177
391.951,1178
391.951,1179
391.951,1180
391.951,1181
784.951,1182
391.951,1183
391.951,1184
391.951,1185
792.951,1186
646.951,1187
320.973,1188
355.973,1189
320.973,1190
320.973,1191
355.973,1192
355.973,1193
355.973,1194
365.918,1195
918,1196
791.981,1197
918,1198
918,1199
918,1200
918,1201
918,1202
918,1203
918,1204
918,1205
918,1206
305.951,1207
391.951,1208
951,1209
305.951,1210
381.951,1211
305.951,1212
331.951,1213
391.951,1214
331.951,1215
338.951,1216
338.951,1217
338.951,1218
728.951,1219
728.951,1220
624.951,1221
551.958,1222
728.958,1223
951,1224
728.951,1225
951,1226
728.951,1227
728.951,1228
393.951,1229
726.951,1230
728.951,1231
355.951,1232
728.951,1233
728.951,1234
355.951,1235
725.951,1236
725.951,1237
951,1238
951,1239
333.951,1240
726.951,1241
725.951,1242
355.951,1243
725.951,1244
726.951,1245
725.951,1246
725.951,1247
725.951,1248
951,1249
726.951,1250
725.951,1251
725.951,1252
725.951,1253
725.951,1254
726.951,1255
725.951,1256
726.951,1257
725.951,1258
725.951,1259
730.951,1260
723.951,1261
723.951,1262
725.951,1263
725.951,1264
725.951,1265
728.951,1266
725.951,1267
394.951,1268
720.951,1269
725.951,1270
725.951,1271
387.951,1272
725.951,1273
725.951,1274
726.951,1275
726.951,1276
726.951,1277
726.951,1278
725.951,1279
720.951,1280
725.951,1281
726.951,1282
726.951,1283
726.951,1284
522.951,1285
726.951,1286
726.951,1287
726.951,1288
725.951,1289
355.951,1290
355.951,1291
726.951,1292
393.951,1293
327.973,1294
944.973,1295
355.973,1296
355.973,1297
355.973,1298
355.973,1299
355.973,1300
355.973,1301
355.973,1302
355.973,1303
320.973,1304
320.973,1305
700,1306
700,1307
700,1308
700,1309
700,1310
700,1311
700,1312
700,1313
700,1314
700,1315
700,1316
700,1317
700,1318
700,1319
700,1320
700,1321
700,1322
349.951,1323
700,1324
915,1325
700,1326
700,1327
700,1328
700,1329
700,1330
700,1331
181,1332
951,1333
895,1334
951,1335
495,1336
495,1337
951,1338
700,1339
700,1340
700,1341
700,1342
700,1343
700,1344
700,1345
700,1346
700,1347
700,1348
226,1349
266.996,1350
390.996,1351
951,1352
996,1353
915,1354
954,1355
015.954,1356
294.954,1357
954,1358
915,1359
390.951,1360
951,1361
915.951,1362
920.950,1363
951.957,1364
915.951,1365
910,1366
914,1367
954,1368
954,1369
915,1370
954,1371
327.954,1372
959,1373
959,1374
915.959,1375
325.950,1376
321.915,1377
301.995,1378
995,1379
912.969,1380
915,1381
959,1382
915.955,1383
932,1384
932,1385
932,1386
932,1387
962,1388
962,1389
962,1390
962,1391
962,1392
932,1393
932,1394
932,1395
932,1396
962,1397
962,1398
962,1399
962,1400
962,1401
962,1402
915.953,1403
297.745,1404
297.745,1405
745.891,1406
745.891,1407
946,1408
745.891,1409
745.891,1410
745,1411
297.745,1412
745.891,1413
297.346,1414
297,1415
297,1416
647,1417
912.947,1418
951,1419
726.914,1420
915,1421
297.779,1422
305.779,1423
915,1424
297.726,1425
297.726,1426
726,1427
916,1428
916,1429
916,1430
916,1431
726,1432
069.727,1433
299,1434
915,1435
633.916,1436
725.916,1437
916,1438
307.726,1439
916,1440
916,1441
951,1442
958,1443
929,1444
305.391,1445
348,1446
305.392,1447
307.726,1448
915,1449
916,1450
725.729,1451
726.729,1452
378,1453
181,1454
523,1455
745,1456
745,1457
745.891,1458
745.891,1459
745,1460
297.745,1461
297,1462
303,1463
371,1464
381.915,1465
381.915,1466
391.915,1467
726.914,1468
636.915,1469
633.915,1470
727.915,1471
726,1472
729,1473
729,1474
916,1475
916,1476
297,1477
916,1478
362,1479
729,1480
385.391,1481
951,1482
915,1483
305.958,1484
392.915,1485
305,1486
133.305,1487
394,1488
953,1489
297.726,1490
297,1491
348,1492
968,1493
968,1494
916.966,1495
297.492,1496
354,1497
207.967,1498
181,1499
320,1500
496.967,1501
962.963,1502
916,1503
352,1504
916.966,1505
320,1506
966,1507
916.966,1508
342,1509
962.966,1510
967,1511
320,1512
912.916,1513
916,1514
910,1515
912,1516
963,1517
916,1518
915.916,1519
320,1520
951,1521
951,1522
181,1523
325.967,1524
967,1525
